	  		   1.000  0.001 -0.170 -0.000		 0.334  0.230  0.008 -0.829 -0.000		-0.288  0.203 -0.052
	  		   0.001  1.000  0.000 -0.134  		-0.665 -0.000 -0.224 -0.000 -0.866    	 0.597 -0.000  0.284
	  		  -0.170  0.000  1.000 -0.000   	 0.012 -0.931  0.000  0.009 -0.000   	-0.102 -0.686 -0.019
	  		  -0.000 -0.134 -0.000  1.000   	-0.041  0.000  0.917  0.000  0.098   	 0.217  0.000 -0.609

	  		   0.334 -0.665  0.012 -0.041   	 1.000  0.003  0.019 -0.221  0.465   	-0.756 -0.004 -0.109
	  		   0.230 -0.000 -0.931  0.000   	 0.003  1.000  0.000 -0.012  0.000   	 0.054  0.827  0.010
	  		   0.008 -0.224  0.000  0.917   	 0.019  0.000  1.000 -0.005  0.132    	 0.095 -0.000 -0.776
	  		  -0.829 -0.000  0.009  0.000   	-0.221 -0.012 -0.005  1.000  0.000   	 0.155  0.028  0.028

	  		  -0.000 -0.866 -0.000  0.098    	 0.465  0.000  0.132  0.000  1.000  	-0.346  0.000 -0.131
	  		  -0.288  0.597 -0.102  0.217   	-0.756  0.054  0.095  0.155 -0.346   	 1.000  0.021  0.119
	  		   0.203 -0.000 -0.686  0.000   	-0.004  0.827 -0.000  0.028  0.000   	 0.021  1.000  0.004
	  		  -0.052  0.284 -0.019 -0.609   	-0.109  0.010 -0.776  0.028 -0.131   	 0.119  0.004  1.000
